"dep","url","created","modified"
"SPR","http://adela.datos.gob.mx/spr/catalogo.json","2015-10-20 08:38:23 UTC","2015-10-23 15:59:23 UTC"
"INEGI","http://adela.datos.gob.mx/inegi/catalogo.json","2015-10-02 16:48:44 UTC","2015-10-02 16:49:12 UTC"
"SAE","http://adela.datos.gob.mx/sae/catalogo.json","2015-10-26 02:56:32 UTC","2015-10-27 02:09:53 UTC"
"Canal 11","http://adela.datos.gob.mx/canal-11/catalogo.json","2015-10-20 08:38:21 UTC","2015-10-27 00:01:07 UTC"
"CONASAMI","http://adela.datos.gob.mx/conasami/catalogo.json","2015-10-20 08:38:10 UTC","2015-10-29 16:01:58 UTC"
"HRAEB","http://adela.datos.gob.mx/hraeb/catalogo.json","2015-10-20 08:38:06 UTC","2015-10-27 22:22:54 UTC"
"Ayuntamiento de Puebla","http://adela.datos.gob.mx/ayuntamiento-de-puebla/catalogo.json","2015-10-22 15:11:34 UTC","2015-10-23 16:59:22 UTC"
"INECC","http://adela.datos.gob.mx/inecc/catalogo.json","2015-10-20 08:38:06 UTC","2015-11-06 21:45:45 UTC"
"INIFED","http://adela.datos.gob.mx/inifed/catalogo.json","2015-10-20 08:37:55 UTC","2015-10-28 16:26:46 UTC"
"Telecomm","http://adela.datos.gob.mx/telecomm/catalogo.json","2015-10-20 08:38:25 UTC","2015-10-28 17:49:54 UTC"
"sndif","http://adela.datos.gob.mx/sndif/catalogo.json","2015-10-08 16:20:24 UTC","2015-11-06 00:40:57 UTC"
"BIRMEX","http://adela.datos.gob.mx/birmex/catalogo.json","2015-10-23 23:31:32 UTC","2015-10-27 18:28:18 UTC"
"CONANP","http://adela.datos.gob.mx/conanp/catalogo.json","2015-10-20 08:38:10 UTC","2015-10-28 23:50:28 UTC"
"CONDUSEF","http://adela.datos.gob.mx/condusef/catalogo.json","2015-10-20 08:38:10 UTC","2015-10-27 22:34:04 UTC"
"CONAPESCA","http://adela.datos.gob.mx/conapesca/catalogo.json","2015-10-20 08:38:10 UTC","2015-11-03 17:06:50 UTC"
"Ayuntamiento de Torreón","http://adela.datos.gob.mx/ayuntamiento-de-torreon/catalogo.json","2015-11-06 20:28:56 UTC","2015-11-07 00:48:03 UTC"
